Time,K,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,W,X,Y,Z,N1,N2,N3,N4,N5,N6,N7,N8,H1,H2,H3,H4,J1,J2,J3,K1,K2,K3,K4
263,1,7,7,6,7,5,4,3,3,5,3,2,4,6,5,5,6,6,5,5,5,7,6,6,6,7,5,4,5,1,4,4,2,,,,1,1,1,1,,4,4,4,4,4,4,4,5,4,4,4
241,1,6,7,6,7,7,6,7,6,1,2,1,2,7,6,7,6,1,2,1,2,7,6,7,6,1,2,1,2,1,3,4,3,,1,,1,1,,,1,7,6,7,6,7,6,7,7,6,7,6
120,1,7,7,5,7,6,6,6,6,3,5,6,7,6,5,5,6,6,6,6,4,7,7,7,7,3,5,5,7,1,4,2,3,,,,1,,,1,1,7,6,5,7,6,7,6,6,6,7,7
240,1,7,7,7,7,7,4,5,6,4,4,3,5,5,5,4,5,4,3,4,3,6,3,3,7,7,7,7,1,1,4,3,2,,,,,1,1,1,1,5,4,5,6,5,5,1,7,7,7,7
208,1,5,5,4,6,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,5,4,2,,,,1,,,1,1,6,6,6,6,5,5,4,6,6,6,6
147,1,5,4,6,7,6,5,7,6,7,5,7,7,6,5,7,7,5,7,6,7,7,7,5,7,6,7,5,5,2,3,4,2,,,,,1,1,1,1,7,7,6,7,7,6,7,6,7,7,6
513,1,6,5,6,7,6,6,5,7,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,7,6,6,6,5,1,3,3,1,,,1,,,,1,1,5,5,6,5,3,3,3,6,5,6,6
7001,1,5,5,4,6,6,5,5,7,4,3,2,4,6,4,3,3,4,5,4,5,4,4,3,5,5,5,4,5,2,3,4,3,,,,,,,1,1,5,5,6,7,4,3,5,4,5,5,4
502,1,7,7,7,7,7,7,7,7,7,6,7,7,5,4,5,6,5,5,4,6,7,6,7,6,6,5,6,7,2,4,3,2,,1,,,1,1,,1,6,5,6,6,4,4,5,6,6,5,5
190,1,4,5,3,6,6,6,5,7,4,4,6,7,6,6,6,7,5,7,6,5,5,6,6,6,4,4,4,4,2,4,3,3,,1,1,,1,,1,1,7,7,6,7,3,3,3,5,4,4,6
95,1,5,5,5,5,6,6,6,6,4,4,3,3,5,6,6,5,4,5,5,5,4,5,5,4,5,5,5,6,2,4,4,2,,,,,,,1,1,6,6,5,5,5,5,5,5,5,4,5
47,1,6,4,4,6,6,6,5,4,6,6,4,6,6,4,6,5,6,4,6,4,6,5,4,6,6,5,4,6,2,3,4,3,,1,,,,,1,1,6,4,6,6,4,6,6,6,5,6,5
585,1,7,5,5,7,7,7,2,7,5,6,2,7,7,3,1,4,2,4,2,1,1,3,2,5,6,5,2,4,2,3,4,4,,,,1,1,1,1,1,7,7,7,7,1,3,2,7,2,7,2
129,1,5,6,6,7,6,5,5,6,3,4,3,4,5,3,3,2,3,4,3,4,2,3,4,3,3,3,4,5,1,4,4,2,,1,,1,1,1,,,6,7,6,6,4,4,3,5,6,5,6
104,1,6,6,6,6,6,6,6,6,2,2,2,2,6,6,6,6,4,4,4,4,4,4,4,4,3,3,4,3,1,4,4,2,,,,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
583,1,7,7,7,7,7,7,7,7,5,3,3,6,5,3,3,6,3,3,3,1,6,5,5,7,3,3,3,7,2,5,2,3,,1,,1,1,1,1,1,7,7,7,7,5,5,6,5,5,5,5
175,1,4,4,1,6,5,4,1,3,1,1,1,7,1,1,1,1,1,1,1,1,5,3,1,7,4,3,1,7,1,3,3,3,,,,,,,1,1,5,5,4,6,2,2,1,3,2,3,4
164,1,7,7,7,7,7,7,7,7,6,5,6,7,7,6,6,7,7,6,6,7,6,5,5,7,7,7,7,7,2,3,4,4,,,,,,,1,1,7,7,7,7,6,5,5,7,4,4,5
118,1,7,6,6,7,6,6,6,7,7,6,6,6,5,6,7,6,6,5,6,4,6,5,7,6,6,5,5,6,2,3,3,3,,,,1,1,1,1,1,6,4,5,5,6,6,6,5,6,5,5
140,1,6,6,6,7,4,3,4,6,5,4,6,7,5,6,5,7,5,4,5,6,4,6,4,7,7,4,7,5,2,3,5,2,,1,,,1,1,1,1,5,6,4,6,3,3,4,3,3,3,3
180,1,6,7,7,7,6,6,6,7,2,3,2,7,5,6,6,7,6,7,6,6,6,7,5,6,7,6,5,6,2,3,4,3,,1,,,,,1,1,7,5,7,7,5,4,4,7,7,7,7
199,1,5,5,6,7,7,6,6,6,4,5,5,5,5,5,5,5,4,4,4,6,5,4,4,7,6,6,6,6,1,4,2,2,,1,1,,,1,1,,5,5,5,6,4,4,4,6,6,6,7
326,1,4,5,4,6,5,5,5,6,4,5,5,6,5,5,5,6,4,5,5,5,4,5,5,7,2,5,5,4,1,4,1,3,,1,,1,1,1,1,1,7,7,7,7,5,5,4,7,7,7,7
53,1,6,6,5,6,5,6,6,6,5,5,5,4,6,5,6,6,5,5,6,6,7,6,6,5,4,5,6,6,2,3,4,4,,1,1,1,,1,,,6,4,6,5,6,5,7,7,5,7,6
201,1,7,7,7,7,7,7,7,7,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,1,3,3,2,,,,,,1,1,1,4,4,6,6,4,4,4,5,6,6,6
81,1,6,6,6,6,6,6,6,7,6,7,6,7,6,6,7,7,6,7,5,7,7,6,7,7,5,7,6,5,1,3,4,2,,1,,,,,1,1,7,7,7,7,4,4,4,7,7,7,7
218,1,3,2,2,1,6,6,5,6,2,1,1,1,3,2,2,3,4,5,5,6,2,1,1,1,1,1,1,1,1,4,4,2,,,,,,1,1,1,6,6,6,6,4,4,5,6,4,4,4
291,1,5,6,5,7,5,5,6,6,4,3,4,5,5,5,4,5,4,4,3,4,4,4,4,5,4,4,5,5,2,3,3,4,,,,,,1,1,1,5,5,5,4,2,3,2,5,4,3,5
200,1,7,7,7,7,7,6,7,6,5,6,6,5,7,6,7,6,5,6,5,6,4,5,6,6,5,4,5,5,2,3,4,2,,,,1,,,1,1,6,5,6,6,5,6,5,6,5,6,5
1658,2,7,7,7,7,6,6,6,6,6,6,6,7,6,6,6,7,2,2,2,2,5,5,5,6,5,5,5,6,1,6,3,3,1,1,1,1,1,1,,,5,5,5,5,3,3,3,4,4,4,4
283,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,5,2,3,,,,,,1,,,7,7,7,7,3,4,4,7,7,7,7
219,1,4,4,4,3,3,3,2,4,5,4,5,7,3,3,3,5,4,4,5,4,5,4,3,3,5,4,3,7,1,4,2,1,,1,,,,1,1,1,4,5,6,4,5,5,5,1,1,1,1
441,1,7,6,6,7,7,7,6,7,6,6,5,5,7,4,4,5,5,4,4,6,5,3,3,4,6,6,5,6,2,4,4,3,,,,,,1,1,1,7,6,6,7,4,4,5,4,2,4,4
103,1,6,6,5,6,5,5,6,6,3,3,3,2,2,3,2,3,3,3,2,3,3,3,2,4,3,2,3,4,1,3,3,5,,1,,1,1,1,,1,4,3,4,3,3,5,4,4,3,4,3
169,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,4,4,2,,1,,1,1,,,,6,6,7,6,7,6,7,7,7,6,5
294,1,2,3,3,4,5,5,4,7,4,3,4,5,4,4,5,5,3,3,3,2,4,4,3,4,4,2,3,7,2,3,4,4,,1,,,1,,1,1,5,7,7,6,4,3,5,5,6,6,6
163,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,1,7,7,7,7,7,7,7,7,1,4,2,3,,1,1,1,,1,1,1,7,7,7,7,7,7,7,7,7,7,7
188,1,6,6,6,7,6,6,5,7,5,4,5,7,5,4,4,7,6,5,4,6,5,5,5,6,5,5,4,6,1,3,4,3,,,1,1,1,1,1,1,6,6,6,6,5,5,6,6,6,5,5
102,1,6,5,6,6,5,5,6,6,5,5,6,5,5,6,6,6,5,6,6,6,5,5,6,6,5,5,5,6,2,5,5,5,1,,,1,,,,1,5,6,5,6,6,6,6,5,5,6,6
159,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,4,4,2,,1,,1,1,1,,1,7,7,7,7,7,7,7,7,7,7,7
214,1,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,3,,,,,,,1,1,6,6,6,6,4,5,4,6,6,6,6
245,1,6,6,5,6,6,6,5,6,5,5,5,5,5,5,4,6,5,5,4,6,5,4,4,5,5,5,5,6,1,5,4,2,,1,,,,1,1,,5,5,5,5,4,4,5,5,5,5,5
442,1,4,3,3,3,5,3,3,4,3,1,1,2,4,4,3,3,3,1,1,3,2,1,1,2,2,1,1,2,2,4,4,2,,1,,1,,1,1,1,7,7,7,7,3,3,3,5,6,6,5
281,1,7,6,6,7,7,6,6,7,4,3,3,7,5,5,4,7,6,5,5,6,4,4,4,7,5,5,5,6,1,4,3,2,,,,1,,1,1,,5,7,6,5,5,4,6,6,7,6,6
454,1,7,7,6,7,7,6,6,6,6,6,5,6,7,6,6,7,7,6,6,6,7,6,6,7,7,5,5,5,1,5,2,2,,1,,1,,1,1,,6,6,6,6,6,6,7,5,6,5,6
420,1,7,7,7,7,7,7,7,7,5,4,4,7,4,4,4,4,5,4,5,5,4,4,4,5,4,4,4,4,1,3,4,3,,,,,,,1,1,5,5,5,5,5,5,5,5,5,5,5
139,1,6,6,5,7,7,7,6,7,5,4,4,6,6,5,6,7,6,5,7,5,6,5,6,7,6,6,6,7,2,3,4,3,,1,,1,,,1,1,7,6,7,6,7,6,7,7,6,5,7
252,1,7,6,4,7,6,4,4,7,4,2,2,4,4,1,1,5,4,2,2,2,1,1,1,1,1,1,1,1,2,3,4,2,,,,1,,,1,1,7,7,6,6,1,1,1,6,6,6,4
199,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,2,,1,,,,,,1,5,5,5,5,1,2,1,3,2,3,3
367,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,5,5,5,7,7,7,7,7,5,5,7,2,3,3,3,,,1,1,,,1,1,7,7,7,7,4,4,5,4,4,4,4
140,1,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,3,3,2,2,2,4,3,2,,,,,,,,1,5,5,5,5,4,3,2,5,4,6,6
94,1,4,5,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,1,1,1,,,,,,4,4,4,4,4,4,4,4,4,4,4
123,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,2,4,2,1,,,,,,,1,,5,5,4,5,5,4,5,5,5,4,5
161,1,7,6,5,6,7,6,6,7,4,2,3,6,6,6,5,6,4,3,5,4,3,3,2,3,3,4,3,4,2,3,4,5,,1,,1,,1,1,1,6,5,6,6,3,2,3,6,4,5,7
236,1,7,7,6,6,6,6,6,5,4,3,3,6,7,6,6,6,5,5,5,3,5,4,4,4,4,5,5,4,2,4,4,3,,,,,1,1,1,1,7,7,6,6,4,3,4,6,6,5,5
245,1,5,5,4,4,6,5,5,5,6,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,6,4,4,1,2,4,4,1,,,,,1,,1,,4,4,4,4,4,4,4,5,4,4,4
953,2,7,6,6,7,6,6,5,7,5,4,5,7,4,5,4,7,4,3,6,4,4,3,5,6,4,4,5,5,2,5,2,2,,,,,,1,1,,3,3,5,4,2,3,2,6,5,7,5
361,1,7,7,6,6,7,7,7,7,4,4,1,5,5,5,6,4,6,6,4,4,2,1,1,7,3,2,1,3,2,3,3,4,,,,,,,1,1,7,7,7,7,7,7,7,5,7,7,7
196,1,7,6,5,7,6,5,5,7,5,4,4,5,5,4,5,5,5,6,5,4,3,3,3,4,2,1,3,5,1,4,3,2,,1,,,,1,1,1,6,6,7,7,4,4,5,6,6,5,7
112,1,4,4,4,4,4,4,4,5,2,2,2,2,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,3,4,2,,,,1,,,,,5,5,5,5,4,4,4,5,5,5,5
